id,text,class,filtered_sentence
20,සහරානුත් සැහැල්ලු ගුවන් යානාවලින් අත්හදා බැලීම් කළා 🤣🤣🤣 ආරක්ෂාව කියන දේ බලන්න ඕන ඔක්කොටම කලින්,Political,සහරානු සැහැල්ල ගු යානා අත්හද බැල කලා 🤣🤣🤣 අරක්ෂා කිය දේ බල ඔන ඔක්කොට කල
22,සීනි වංචාව හෙලිවීමත් සමග ඇමිතිවරැන්ගේ හොර අඹුවන් රෙදි නැතිව මඩ සමග එළියට 🐄🐄🐄,Political,සී වංචා හෙලිවීම ඇමිතිවරැ හොර අබු රෙදි නැති මඩ එලිය 🐄🐄🐄
24,සීනි හොරා රාජපක්ෂලා යනු උපන්ගෙයි හොරැන් ය🙏🙏😡,Political,සී හොර රාජපක්ෂ යනු උපන්ගෙ හොරැ ය🙏🙏😡
26,සිරස කියන්නෙ තමන්ට විරුද්ධ මිනිහට එලව එලව පහරදීම සිරස ගිනිගත්ත වෙලාවෙ රාජපක්ෂලට ගැහුව දැන් රාජපක්ෂ එක්ක එකතුවෙලා රනිල්ට ගහනව  අපි ඔක්කොම දන්නව කිලී සහ රනිල් අතර ලොකු ප්‍රශ්නයක් තියෙනව කියල  එහෙම කියල මාද්‍ය කියනදේ මිනිසුන්ට එපා කරන්න හොඳ නැහැ LKA BlackMedia SirasaTV ,Political,සිරස කියන්න තමන් විරුද්ධ මිනිහ එලව එලව පහරදී සිරස ගිනිගත්ත වෙලාව රාජපක්ෂල ගැහ රාජපක්ෂ එක්ක එකතුවෙ රනිල් ගහන අපි ඔක්කො දන්න කිල රනිල ලො ප්‍රෂ්නය තියෙන කිය එහෙ කිය මාද්‍ කියනද මිනිසුන් එපා කර හොද නැහැ
28,සිරා හොඳයිනෙසිරා වැඩ පුලුවන් මිනිහෙක් හමුදාපති කරලා හරි තියෙනවා,Political,සිර හොදයිනෙසිර වැඩ පුලු මිනිහ හමුදාප කර හරි තියෙ
30,සිරිසේනගේ සහ නන්දසේනගේ ආණ්ඩුවල බඩුමිලඔබට සතුටුයිද දැන්,Political,සිරිසේන නන්දසේන අන්ඩ බඩුමිලඔබ සතුටුයි
32,සෑම ආණ්ඩුවක්ම අනුගමනය කරපු ප්‍රතිපත්තියමයි මේ ආණ්ඩුව අනුගමනය කරන්නෙත්  කුමාර් ගුණරත්නම් ගම්පහට සතියක් මැයෙන් පෙරටුගාමී සමාජවාදී පක්ෂය සංවිධානය කළ ජනතා දැනුවත් කිරීමේ වැඩසටහනේ  දින ගම්පහ නගරයේ ජනතාව මුණගැසෙමින් පක්ෂයේ ප්‍රධාන ලේකම් කුමාර් ගුණරත්නම් සහෝදරයා දැක්වූ අදහස්,Political,සෑම අන්ඩුවක් අනුගමන කර ප්‍රතිපත්තියම අන්ඩ අනුගමන කරන්නෙ කුමාර ගුනරත්න ගම්පහ සතිය මැ පෙරටුගාම සමාජවාද පක්ෂ සංවිධාන කල ජනත දැනු කිර වැඩසටහන දින ගම්පහ නගර ජනතා මුනගැසෙ පක්ෂ ප්‍රධා ලේක කුමාර ගුනරත්න සහෝදර දැක්ව අදහස
34,සමහරු කතා කරන්නේ නිකන් ජනාධිපතිපති හිතලා කට්ටියව පත් කරනවා වගේනේ 😂😂😂  පව් අර අහිංසකයා 😁😂,Political,සමහර කතා කර නික ජනාධිපතිප හිත කට්ටිය පත් කර වගේන 😂😂😂 පව් අර අහිංසක 😁😂
36,ශ්‍රී ලංකාවේ දේශපාලන අර්බුදය ලෝන්ලි ප්ලැනට් පළමු තැන ගත් ශ්‍රී ලංකාවේ සංචාරක කර්මාන්තයේ හෙට දවස ,Political,ලංක දේෂපාල අර්බුද ලෝන්ලි ප්ලැනට පල තැන ගත් ලංක සංචාරක කර්මාන්ත හෙට දවස
42,ශ්‍රිලනිප යෝජනා කමිටුවට හෙට බාරදෙයි,Political,ෂ්‍රිලනිප යෝජ කමිටුව හෙට බාරදෙ
44,ෆෙඩරල් දෙන්න රනිල් එකග වෙයි – ලිඛිත ගිවිසුම TNA සමග හෙට අත්සන් තබයි  Voice of Lanka ,Political,ෆෙඩරල දෙ රනිල එකග වෙ  ලිකිත ගිවිසු  හෙට අත්ස තබ
46,විමලයා ගොනෙක් වගෙ stage එකෙ මෑරෙන්න හදනවා පරය රටට වෑඩක් කරපන් යකො හොරා,Political,විමල ගොන වගෙ  එකෙ මෑරෙ හද පරය රටට වෑඩ කර යකො හොර
48,විපක්ෂ නායකතුමා තාම ඉන්නේ හෝඩියේ පන්තියේ,Political,විපක්ෂ නායකතුම තාම ඉ හෝඩි පන්ති
50,හැබැයි කවදාක හරි ගූ ඇන් පී ආණ්ඩුවක් ආව දවසටත් ඔහොමම ජනතාවගෙ පැත්තෙ හිටියොත් තමයි තවත් වටින්නෙ,Political,හැබැ කවදාක හරි ගූ ඇන් පී අන්ඩුව අව දවස ඔහොම ජනතාව පැත්ත හිටිය තම වටින්න
52,හැම දාම ජනතාව හොදට ඇන්ද වු දේශපාලඥයින් සියල්ලම මේ වන විට උන්ටම හොදටම ඇන්දී ඇතඔවුනොවුන්ට හොදට රැවටී අමාරුවේ වැටී ඇතඔය මොකා ආවත් කරේ ජනතාව රැවටීම පමණයි අරුන් දෙමළ අරුන් මුස්ලිම් යේක සිංහල මිනිස්සු කිය කියා මහනතාව ,Political,හැම දාම ජනතා හොද ඇන් වු දේෂපාලඥය සියල්ල උන්ට හොදට ඇන්ද ඇතඔවුනොවුන් හොද රැවට අමාර වැට ඇතඔ මො අ කරේ ජනතා රැවටී පමන අර දෙමල අර මුස්ලි යේක සිංහ මිනිස්ස කිය කි මහනතා
54,හිටපු ආරක්ෂක හා නාගරික සංවර්ධන ලේකම් ගරු ගෝඨාභය රාජපක්ෂ මැතිතුමාගේ නගර අළංකාර ව්‍යාපෘති සංකල්පය යටතේ බිහිවූ ජරා ජීරණය වෙමින් ආ අගනුවරට තාරුණ්‍යය කැන්දන  එදා පිස්සං කොටුව  අද ආකේඩ් ඉන්ඩිපෙන්ඩන්ස්‌ ස්‌ක්‌වෙයාර් ,Political,හිට අරක්ෂක නාගරික සංවර්ධ ලේක ගරු ගෝටාබ රාජපක්ෂ මැති නගර අලංකාර ව්‍යාපෘ සංකල්ප යටත බිහිව ජරා ජීරන වෙ අගනුවර තාරුන්‍ය කැන්ද එදා පිස්සං කොට අද අකේඩ ඉන්ඩිපෙන්ඩන්ස්‌ ස්‌ක්‌වෙයාර
56,හිටපු ආරක්ෂක හා නාගරික සංවර්ධන ලේකම් ගරු ගෝඨාභය රාජපක්ෂ මැතිතුමාගේ නගර අලංකාර ව්‍යාපෘති සංකල්පය යටතේ බිහිවූ ජරා ජීරණය වෙමින් තිබූ  අගනුවරට තාරුණ්‍යය කැන්දන  එදා පිස්සං කොටුව  අද ආකේඩ් ඉන්ඩිපෙන්ඩන්ස්‌ ස්‌ක්‌වෙයාර්  Arcade  Independence Square Colombo ,Political,හිට අරක්ෂක නාගරික සංවර්ධ ලේක ගරු ගෝටාබ රාජපක්ෂ මැති නගර අලංකාර ව්‍යාපෘ සංකල්ප යටත බිහිව ජරා ජීරන වෙ තිබ අගනුවර තාරුන්‍ය කැන්ද එදා පිස්සං කොට අද අකේඩ ඉන්ඩිපෙන්ඩන්ස්‌ ස්‌ක්‌වෙයාර
58,හිටපු ආරක්ෂක ලේකම් ගරු ගෝඨාභය රාජපක්ෂ මැතිතුමා කාර්‍යයයේ නිරතව සිටියදි  වසරක ශ්‍රී ලංකා නාවික හමුදා ඉතිහාසයේ පළමු වරට අළුතෙන්ම මිලදී ගත් විශාලතම සුපිරි අධිතාක්ෂණික නෞකාව ශ්‍රී ලංකා නාවික නෞකා සයුරළ SLNS Sayurala  P  GR NextPresidentInSL SeventhExecutivePresident,Political,හිට අරක්ෂක ලේක ගරු ගෝටාබ රාජපක්ෂ මැතිතුම කාර්‍යය නිරත සිටියදි වසරක ලං නාවික හමුද ඉතිහාස පල වරට අලුතෙන් මිලද ගත් විෂාලත සුපිරි අධිතාක්ෂනික නෞකා ලං නාවික නෞ සයුරල
60,හිනිදුම මැතිවරණ කොට්ඨාසයේ උඩවැලිවිිටිය ගම්මැද්දගොඩ මිදිගහවිට පාලම ඉදිකිරීම සඳහා මුල්ගල් තැබීම වියදම රුපියල් ලක්ෂ කි,Political,හිනිදු මැතිවරන කොට්ටාස උඩවැලිවිට ගම්මැද්දගොඩ මිදිගහවි පාල ඉදිකිරී මුල්ගල තැබී වියද රුපියල ලක්ෂ කි
62,හරි ලස්සනයි ජනාධිපතිතුමා  රටේ හැම තැනම ප්‍රශ්නතව ලෙඩ්ඩු දහස් ගානක් ඉන්නවා පරීක්ෂා කරන්නඒව කඩිනමින් කරන්න වැඩපිලිවෙලක් නෑ තාම,Political,හරි ලස්සන ජනාධිපතිතුම රටේ හැම තැන ප්‍රෂ්නත ලෙඩ්ඩ දහස ගාන ඉන් පරීක්ෂ කරන්නඑ කඩින කර වැඩපිලිවෙල තාම
64,හම්බන්තොට වහල්ලු තමන් වහල්ලු බව තේරැම් ගන්නා තෙක් මෙය වෙනස් නොවේඑතකන් රාජපක්ෂලා කර තබා⁣ගෙන සිටිනු ඇත😡😡😡,Political,හම්බන්තො වහල්ල තම වහල්ල තේරැ ගන් මෙය වෙනස නොවේඑතක රාජපක්ෂ කර තබා⁣ගෙ සිටි ඇත😡😡😡
66,හදුන්නෙත්ති ට විරැද්ධව නඩු දාන්න කොමිසමක් දාවි හෙටමසර් එහෙමයි😂😂😡,Political,හදුන්නෙත් විරැද්ධ නඩු දා කොමිසම දාවි හෙටමසර එහෙමයි😂😂😡
68,කොළඹ ඉදිවන වරාය නගරයේ ඉඩම් සින්නකරව චීනයට ලබාදීමට පැවති මහින්ද රාජපක්ෂ රජය පියවර ගෙන තිබූ බව පාර්ලිමේන්තු මන්ත්‍රී බන්දුල ගුණවර්ධන මහතා අද පිළිගත්තා  ඒ මහින්ද රාජපක්ෂ රජය සහ චීනය අත්සන් කළ ගිවිසුම මාධ්‍යවේදියෙකු විසින් ඔහු වෙත ලබාදීමෙන් අනතුරුවයි  කෙසේ වෙතත් බන්දුල ගුණවර්ධන මහතා පසුගිය සතියේ පැවති මාධ්‍යහමුවේදී ප්‍රකාශ කළේ මහින්ද රාජපක්ෂ රජය කිසිඳු ඉඩමක් සින්නකරව චීනයට ලබා නොදුන් බවයි,Political,කොලබ ඉදිව වරා නගර ඉඩ සින්නකර චීනය ලබාදීම පැව මහින් රාජපක්ෂ රජය පියවර ගෙන තිබ පාර්ලිමේන්ත මන්ත්‍ර බන්දු ගුනවර්ධ මහත අද පිලිගත්ත මහින් රාජපක්ෂ රජය චීන අත්ස කල ගිවිසු මාධ්‍යවේදි ඔහු ලබාද අනතුරු කෙස වෙ බන්දු ගුනවර්ධ මහත පසුග සති පැව මාධ්‍යහමුවේද ප්‍රකාෂ කලේ මහින් රාජපක්ෂ රජය කිසිද ඉඩම සින්නකර චීනය ලබා නොද බ
70,කො බන් අපිට නිදහසක් චීනාට ජපනට ඇමරිකාවට ඉන්දියාවට විකිණිලා අපි හැමදාම,Political,කො බන් අපි නිදහස චීනා ජපන ඇමරිකාව ඉන්දියාව විකින අපි හැමදා
72,කෝ සද්දයක් දාමු නේද දේශප්‍රේමී සලු පොරවන් ඉන්න අය,Political,කෝ සද්දය දා නේද දේෂප්‍රේම සලු පොර ඉ අය
74,කරන්දෙණියෙ මහඒදන්ඩ සතිපොල ගරු බැසිල් රාජාක්ශ මැතිඳුන් ගේ ප්‍රධානත්වයෙන් ජනතා අයිතියට පත්වූ වගයි ,Political,කරන්දෙනිය මහඑදන්ඩ සතිපො ගරු බැසිල රාජාක්ෂ මැතිද ප්‍රධානත්ව ජනත අයිතිය පත්ව වග
76,කප්පම් නොගෙවන නිසා ලාංකිකයන් ට ලංකාවට එන්න ඉඩ නොදෙන  මුං සහ මුංට බලය දුන්න රාජපක්ෂලා මිනිසුන් දසතුන් ද  නුඹලා ට සාප වේවා ,Political,කප්ප නොගෙව ලාංකික ලංකාව එ ඉඩ නොදෙ මුං මුං බලය දු රාජපක්ෂ මිනිස දසත නුබ සාප වේ
78,ගොන්නු රට පාලනය කරාම රටේ ජනතාවත් ඒ ගානට ගන්න යනවා  අධ්‍යාපනයේ විප්ලවීය වෙනස ඉතිං පුක තමා ,Political,ගොන් රට පාලන කරා රටේ ජනතා ගාන ග ය අධ්‍යාපන විප්ලව වෙනස ඉතිං පුක තමා
80,ගෝඨාභය අවොත් රට ඉවරයි – වාසුදේව නානායක්කාර,Political,ගෝටාබ අව රට ඉවර  වාසුදේ නානායක්කාර
82,ගෝඨාභය රට හදනවනම් ඒ උඹෙත් මගෙත් රට ඒකට අකුල් හෙලන රනිල් මහින්ද දෙපළ විනාස කරන එක NPP අපේ වගකීම විතරක් නෙවෙයි උඹෙත් වගකීමක් සහෝ🌺,Political,ගෝටාබ රට හදනවන උබෙ මගෙ රට එකට අකුල හෙල රනිල මහින් දෙපල විනාස කරන එක  අපේ වගකී විතර නෙවෙ උබෙ වගකීම සහෝ🌺
84,ගහන ගේමක් තියෙන්නම ඕනේ මේ වෙනුවෙන් මේ රටේ සියලුම ජනතා නියෝජිතයෝ ඉදිරිපත් විය යුතුයි එසේ නොමැතිනම් ඔහුන්ද පාලනය වනු ලබන්නේ මෙම වියවස්තාවෙන් නොවේ මෙවැනි හදිසි  හස්තයකින් බව මේ රටේ ජනතාව තේරුම් ගනු ඇත ඒ වෙනුවෙන් ඔහුන් ඉදිරි මැතිවරණ වලදී ක්‍රියාත්මක වෙනු නොඅනුමානයි ,Political,ගහන ගේම තියෙන්න ඔනේ රටේ සියලු ජනත නියෝජිත ඉදිරිප විය යුතු එසේ නොමැතින ඔහුන් පාලන වනු ලබ වියවස්තා නො මෙ හදිසි හස්ත රටේ ජනතා තේර ගනු ඇත ඔහ ඉදිරි මැතිවරන වලද ක්‍රියාත් වෙ නොඅනුමාන
86,ගිං ගඟ ව්‍යාපෘතිය සම්බන්ධයෙන් සාකච්ඡාවක් අභයන්තර හා ස්වදේශ කටයුතු සහ පළාත් සභා හා පළාත් පාලන අමාත්‍ය ගරු වජිර අබේවර්ධන මැතිතුමාගේ ප්‍රධානත්වයෙන් පැවැත්විණි,Political,ගිං ගග ව්‍යාපෘත සම්බන්ධ සාකච්චාව අබයන්තර ස්වදේෂ කටයුත පලා සබා පලා පාල අමාත්‍ ගරු වජිර අබේවර්ධ මැති ප්‍රධානත්ව පැවැත්විනි
88,ගරු අගමැති තුමා ණය ගෙව්වේ ඔහුගේ පොකට් එකෙන් නොව අපේ පොකට් එකේ බදු වලින් බවට අමතක නොකරන්න,Political,ගරු අගමැ තුම නය ගෙව් ඔහු පොකට එ නොව අපේ පොකට එකේ බදු  අමතක නොකර
90,යහපාලනය කාලේ කැලේ අපි මේ සුද්ද කරනවාඋන් ගහක් වත් හිටවලා නෑ ඒ කාලේ😱,Political,යහපාලන කාල කැල අපි සුද් කරනවාඋ ගහ හිටව කාලේ😱
92,තරුණයෙක් විදියට තැබූ ගරුත්වය ඔබ නැති කර ගත්තේ මැතිවරණය ඉලක්ක කරගනිමින් ජාතිවාදියකු වූ නිසයිඔය ඔබගේ සැබෑ කතාව නොව මැතිවරණය වෙනුවෙන් මාතර සිංහල බෞද්ධ ජනතාව මුලා කිරීමේ කතාවයිමැතිවරණයට ජාතිවාදී වන්නන්ට සැබෑම ,Political,තරුනය විදිය තැබ ගරුත්ව ඔබ නැ කර ගත්ත මැතිවරන ඉලක්ක කරගනි ජාතිවාදි වූ නිසයිඔ ඔබ සැබෑ කතා නොව මැතිවරන මාතර සිංහ බෞද්ධ ජනතා මු කිර කතාවයිමැතිවරනය ජාතිවාද වන්නන් සැබෑ
94,ඉතා කනගාටුදායකයි මහා ඉඩම් මන්කොල්ලයට එරෙහිවූ ආදිවාසින්ටත් ජරාව දෙන්න ගදපු එකාව වහා නිතිය ක්‍රියාත්මක කල යුතු නොවේද ,Political,කනගාටුදායක ඉඩ මන්කොල්ලය එරෙහිව අදිවාසින් ජරා දෙ ගද එකා නිත ක්‍රියාත් කල යුත නොවේ
96,ඉදිරි මාස කිහිපයේ දී ග්‍රාමීය පාලම් ක වැඩ ආරම්භ කරනවා   ගරු වජිර අබේවර්ධන  අමාත්‍යවරයා පැවසේ  ,Political,ඉදිරි මාස කිහිප ග්‍රාම පාල වැඩ අරම්බ කර ගරු වජිර අබේවර්ධ අමාත්‍යවර පැවස
98,ඕක රනිල් දෙන්ඩ ගිය එක නේද,Political,ඔක රනිල දෙන්ඩ ගිය එක නේ
100,ඇය මැතිනියක්ම විය 🇱🇰 වානේ  අතුරුගිරිය ඔරුවල  ටයර්  කැළණිය ලෝහ භාණ්ඩ  යක්කල වාත්තු  එඬේරමුල්ල කඩදාසි  වාලච්චේන සහ ඇඹිලිපිටිය  නූල් සහ රෙදි  තුල්හිරිය වේයන්ගොඩ වැල්ලවත්ත  කපු නූල් නිෂ්පාදනය කර ප්‍රතිඅපනයනය අමෙරිකාවට  කපුවත්ත නයිලෝන්  සපුගස්කන්ද  දාස ඩියුරෝ  කැළණිය  ඒකල කර්මාන්ත කලාපය රත්මලාන කර්මාන්ත කලාපය යුනික් ඉලෙක්ට්‍රොනික්ස්  හෝමාගම මැටලික්ස් ඉලෙක්ට්‍රිකල්ස්  පිටකෝට්ටේ පැරකුම් කිරි  පොලොන්නරුව පිටි සංස්ථාව ධීවර  සංස්ථාව  ටයර් සංස්ථාව  ලංකා ලෝහ භාණ්ඩ සංස්ථාව  පිඟන් භාණ්ඩ සංස්ථාව තුනී ලෑලි සංස්ථාව  ගින්තොට  සීනී  කන්තලේ හා හිගුරාන ෆෝසිලේන් පිගන්  රත්තොට මිනිරන්  බෝගල  කිරි මණ්ඩලය  දැන් මිල්කෝ සහ හයිලන්ඩ් සිමෙන්ති  වාලච්චේන  පොහොර සංස්ථාව  සපුගස්කන්ද  ලැම්බ්‍රෙටා ස්කූටර් සහ ත්‍රීරෝද රථ SirimavoBandaranaike,Political,ඇය මැතිනියක් විය 🇱🇰 වාන අතුරුගිර ඔර ටයර කැලන ලෝහ බාන්ඩ යක්ක වාත්ත එඬේරමුල් කඩදාසි වාලච්චේ ඇබිලිපිට නූල රෙදි තුල්හිර වේයන්ගොඩ වැල්ලවත්ත කපු නූල නිෂ්පාදන කර ප්‍රතිඅපනයන අමෙරිකාව කපුවත්ත නයිලෝ සපුගස්කන් දාස ඩියුර කැලන එකල කර්මාන්ත කලාප රත්මලා කර්මාන්ත කලාප යුනි ඉලෙක්ට්‍රොනික්ස හෝමාග මැටලික්ස ඉලෙක්ට්‍රිකල්ස පිටකෝට්ට පැරක කිරි පොලොන්නර පිටි සංස්ථා ධීවර සංස්ථා ටයර සංස්ථා ලං ලෝහ බාන්ඩ සංස්ථා පිග බාන්ඩ සංස්ථා තුන ලෑලි සංස්ථා ගින්තො සීන කන්තල හිගුරා ෆෝසිලේ පිග රත්තො මිනිර බෝග කිරි මන්ඩල මිල්ක හයිලන්ඩ සිමෙන් වාලච්චේ පොහොර සංස්ථා සපුගස්කන් ලැම්බ්‍රෙට ස්කූටර ත්‍රීරෝ රථ
102,ඇත්ත මහින්ද මහත්තයා ඔබතුමා වැරදිලා කලේ නෑ  හිතලා කලා මිසක්,Political,ඇත්ත මහින් මහත්ත ඔබතුම වැරද කලේ හිත කලා මිස
104,ඇමති පාඨලී ගැන හිටපු අැමති වෙල්ගම කියයි,Political,ඇම පාටල හිට අැම වෙල්ග කි
106,ආණ්ඩුවේ හිතමිත්‍රාදීන් පවසන ආකාරයට සීනි වංචාවෙන් පාඩුවක් නොවූයේද ,Political,අන්ඩ හිතමිත්‍රාදී පවස අකාරය සී වංචා පාඩුව නොවූයේ
108,ආණ්ඩුවට කොරෝනා පාලනය කරගන්න බෑ,Political,අන්ඩුව කොරෝ පාලන කරග බෑ
110,අවුල් වියවුල් මකන්න මැතිවරණ කොමිසමෙන් නව නීති,Political,අවුල වියවුල මක මැතිවරන කොමිස නී
112,අකු දිසානායක විසින් ජවිපෙ එජාපයට පාවා දෙනව කියන අය ගොඩක් දුරට විමලාවතී පාක්ෂිකයො බැරිවෙලා විමලාඔතියා ජවිපෙ නායකයා වුනානං පක්ෂෙ මහින්ද මහත්තයට පාවා දෙද්දි පුක උඩ දාගෙන නිදාගන්න එකයි කරන්නෙ ඒ හින්දා යූ එන් පී ගූ ,Political,අකු දිසානා ජවිප එජාපය ප දෙන කිය අය ගොඩ දුර විමලාවත පාක්ෂිකය බැරිවෙ විමලාඔති ජවිප නායක වුනානං පක්ෂ මහින් මහත්තය ප දෙද්දි පුක උඩ දාගෙ නිදාග එක කරන්න හින්ද යූ එන් පී ගූ
114,අගමැති තුමා හරක්වත් රැවට්ටුවේ මරන්නේ නෑ කියලා 😱😱,Political,අගමැ තුම හරක් රැවට්ට මර කිය 😱😱
116,අගමැති ඔය විශය බාරව උන්නෙ නැහැ  මහ බැන්කු හොරකම නම් රනිල් වග කියන්න ඕනා නමුත් පාස්කු ප්‍රහාරයට රනිල් වග කිව යුත්තේ කුමක් නිසාද,Political,අගමැ ඔය විෂ බාර උන්න නැහැ බැන් හොරක රනිල වග කිය ඔනා පාස් ප්‍රහාරය රනිල වග කිව යුත්ත කුම නිසා
118,අඩරට නීතිපහතරට නීති තේවසලාමේ නීතිමුස්ලිම් නීති ඔක්කොම අයින් කරල එකක් ගේන්ඩ ඕන,Political,අඩර නීතිපහතර නී තේවසලා නීතිමුස්ලි නී ඔක්කො අය කරල එක ගේන්ඩ ඔන
120,අනේ නිස්සංක දන්න දේශපලනේ,Political,නිස්සංක ද දේෂපලන
122,අජිත් නිවාඩ් කබ්රාල් රාජ්‍ය අමාත්‍යතුමනි පුළුවන්නම් ජනතා ඡන්දයෙන් පාර්ලිමේන්තුවට එන්න සත්‍යයේ සටහන බුද්ධියේ විමසුමට,Political,අජි නිවාඩ කබ්රාල රාජ්‍ අමාත්‍යතුම පුලුවන්න ජනත චන්ද පාර්ලිමේන්තුව එ සත්‍ය සටහ බුද්ධි විමසුම
124,අම්මෝජෙප්පො බය වෙලා හොදටම…,Political,අම්මෝජෙප්ප බය වෙ හොදටම…
126,අපි රැවටුනා නීතිය නවලා විදෙස් තහනම ඉවත් කරපු ඒවා අපිට අමතකයි හොදේ😂😂😂,Political,අපි රැවටු නීත නව විදෙස තහන ඉ කර එවා අපි අමතක හොදේ😂😂😂
128,අපරාදේ කමල් ගූරත්න ආරක්ෂක ලේකම් කරන්න තිබුනේ😁😁,Political,අපරාද කමල ගූරත් අරක්ෂක ලේක කර තිබුනේ😁😁
130,අපරාදේ අපිට මුලින්ම හමුදාපති ජනාධිපති කර ගන්න තිබුණේ 🙏🙏🙏,Political,අපරාද අපි මුලින් හමුදාප ජනාධිප කර ග තිබ 🙏🙏🙏
132,අද ඉතින් හත්වෙනි දවස ජනාධිපති තුමා  lt ,Political,අද හත්වෙ දවස ජනාධිප තුම
134,අද දින ගලගෙදර උතුර ග්‍රාම සංවර්ධන සමිතියට ගරු දිනේෂ් ගුණවර්ධන මැතිතුමන්ගේ ප්‍රතිපාදන යටතේ nescafe යන්ත්‍රයක් ලබා දුන් මොහොතෙ සුවිශේෂී අවස්ථා,Political,අද දින ගලගෙදර උතුර ග්‍රා සංවර්ධ සමිතිය ගරු දිනේෂ ගුනවර්ධ මැතිතුම ප්‍රතිපාද යටත  යන්ත්‍රය ලබා ද මොහොත සුවිෂේෂ අවස්ථ
136,බොරැවෙන් හම්බන්තොට ජනතාව ඇන්ද වූ  වියත්මගේ  නල්ල මලේ දොස්තර  😡🙏😂,Political,බොරැ හම්බන්තො ජනතා ඇන් වූ වියත්ම නල් මලේ දොස්තර 😡🙏😂
138,බැසිල් රාජපක්ෂ මහතා පාර්ලිමේන්තු පැමිණ ආර්ථික කටයුතු පිළිබඳ අමාත්‍යාංශය භාරගත යුතු බවද අරුන්දික ප්‍රනාන්දු මහතා සඳහන් කරයි,Political,බැසිල රාජපක්ෂ මහත පාර්ලිමේන්ත පැමින අර්ථික කටයුත අමාත්‍යාංෂ බාරගත යුත අරුන්දික ප්‍රනාන්ද මහත සදහ කර
