id,text,class,filtered_sentence
20,සහරානුත් සැහැල්ලු ගුවන් යානාවලින් අත්හදා බැලීම් කළා 🤣🤣🤣 ආරක්ෂාව කියන දේ බලන්න ඕන ඔක්කොටම කලින්,Political,සහරන සහලල ග යන අතහද බල කල  අරකෂ කය ද බල ඔන ඔකකට කල
22,සීනි වංචාව හෙලිවීමත් සමග ඇමිතිවරැන්ගේ හොර අඹුවන් රෙදි නැතිව මඩ සමග එළියට 🐄🐄🐄,Political,ස වච හලවම ඇමතවර හර අබ රද නත මඩ එලය
24,සීනි හොරා රාජපක්ෂලා යනු උපන්ගෙයි හොරැන් ය🙏🙏😡,Political,ස හර රජපකෂ යන උපනග හර ය
26,සිරස කියන්නෙ තමන්ට විරුද්ධ මිනිහට එලව එලව පහරදීම සිරස ගිනිගත්ත වෙලාවෙ රාජපක්ෂලට ගැහුව දැන් රාජපක්ෂ එක්ක එකතුවෙලා රනිල්ට ගහනව  අපි ඔක්කොම දන්නව කිලී සහ රනිල් අතර ලොකු ප්‍රශ්නයක් තියෙනව කියල  එහෙම කියල මාද්‍ය කියනදේ මිනිසුන්ට එපා කරන්න හොඳ නැහැ LKA BlackMedia SirasaTV ,Political,සරස කයනන තමන වරදධ මනහ එලව එලව පහරද සරස ගනගතත වලව රජපකෂල ගහ රජපකෂ එකක එකතව රනල ගහන අප ඔකක දනන කල රනල ල පරෂනය තයන කය එහ කය මද කයනද මනසන එප කර හද නහ
28,සිරා හොඳයිනෙසිරා වැඩ පුලුවන් මිනිහෙක් හමුදාපති කරලා හරි තියෙනවා,Political,සර හදයනසර වඩ පල මනහ හමදප කර හර තය
30,සිරිසේනගේ සහ නන්දසේනගේ ආණ්ඩුවල බඩුමිලඔබට සතුටුයිද දැන්,Political,සරසන නනදසන අනඩ බඩමලඔබ සතටය
32,සෑම ආණ්ඩුවක්ම අනුගමනය කරපු ප්‍රතිපත්තියමයි මේ ආණ්ඩුව අනුගමනය කරන්නෙත්  කුමාර් ගුණරත්නම් ගම්පහට සතියක් මැයෙන් පෙරටුගාමී සමාජවාදී පක්ෂය සංවිධානය කළ ජනතා දැනුවත් කිරීමේ වැඩසටහනේ  දින ගම්පහ නගරයේ ජනතාව මුණගැසෙමින් පක්ෂයේ ප්‍රධාන ලේකම් කුමාර් ගුණරත්නම් සහෝදරයා දැක්වූ අදහස්,Political,සම අනඩවක අනගමන කර පරතපතතයම අනඩ අනගමන කරනන කමර ගනරතන ගමපහ සතය ම පරටගම සමජවද පකෂ සවධන කල ජනත දන කර වඩසටහන දන ගමපහ නගර ජනත මනගස පකෂ පරධ ලක කමර ගනරතන සහදර දකව අදහස
34,සමහරු කතා කරන්නේ නිකන් ජනාධිපතිපති හිතලා කට්ටියව පත් කරනවා වගේනේ 😂😂😂  පව් අර අහිංසකයා 😁😂,Political,සමහර කත කර නක ජනධපතප හත කටටය පත කර වගන  පව අර අහසක
36,ශ්‍රී ලංකාවේ දේශපාලන අර්බුදය ලෝන්ලි ප්ලැනට් පළමු තැන ගත් ශ්‍රී ලංකාවේ සංචාරක කර්මාන්තයේ හෙට දවස ,Political,ලක දෂපල අරබද ලනල පලනට පල තන ගත ලක සචරක කරමනත හට දවස
42,ශ්‍රිලනිප යෝජනා කමිටුවට හෙට බාරදෙයි,Political,ෂරලනප යජ කමටව හට බරද
44,ෆෙඩරල් දෙන්න රනිල් එකග වෙයි – ලිඛිත ගිවිසුම TNA සමග හෙට අත්සන් තබයි  Voice of Lanka ,Political,ෆඩරල ද රනල එකග ව  ලකත ගවස  හට අතස තබ
46,විමලයා ගොනෙක් වගෙ stage එකෙ මෑරෙන්න හදනවා පරය රටට වෑඩක් කරපන් යකො හොරා,Political,වමල ගන වග  එක මර හද පරය රටට වඩ කර යක හර
48,විපක්ෂ නායකතුමා තාම ඉන්නේ හෝඩියේ පන්තියේ,Political,වපකෂ නයකතම තම ඉ හඩ පනත
50,හැබැයි කවදාක හරි ගූ ඇන් පී ආණ්ඩුවක් ආව දවසටත් ඔහොමම ජනතාවගෙ පැත්තෙ හිටියොත් තමයි තවත් වටින්නෙ,Political,හබ කවදක හර ග ඇන ප අනඩව අව දවස ඔහම ජනතව පතත හටය තම වටනන
52,හැම දාම ජනතාව හොදට ඇන්ද වු දේශපාලඥයින් සියල්ලම මේ වන විට උන්ටම හොදටම ඇන්දී ඇතඔවුනොවුන්ට හොදට රැවටී අමාරුවේ වැටී ඇතඔය මොකා ආවත් කරේ ජනතාව රැවටීම පමණයි අරුන් දෙමළ අරුන් මුස්ලිම් යේක සිංහල මිනිස්සු කිය කියා මහනතාව ,Political,හම දම ජනත හද ඇන ව දෂපලඥය සයලල උනට හදට ඇනද ඇතඔවනවන හද රවට අමර වට ඇතඔ ම අ කර ජනත රවට පමන අර දමල අර මසල යක සහ මනසස කය ක මහනත
54,හිටපු ආරක්ෂක හා නාගරික සංවර්ධන ලේකම් ගරු ගෝඨාභය රාජපක්ෂ මැතිතුමාගේ නගර අළංකාර ව්‍යාපෘති සංකල්පය යටතේ බිහිවූ ජරා ජීරණය වෙමින් ආ අගනුවරට තාරුණ්‍යය කැන්දන  එදා පිස්සං කොටුව  අද ආකේඩ් ඉන්ඩිපෙන්ඩන්ස්‌ ස්‌ක්‌වෙයාර් ,Political,හට අරකෂක නගරක සවරධ ලක ගර ගටබ රජපකෂ මත නගර අලකර වයප සකලප යටත බහව ජර ජරන ව අගනවර තරනය කනද එද පසස කට අද අකඩ ඉනඩපනඩනස සකවයර
56,හිටපු ආරක්ෂක හා නාගරික සංවර්ධන ලේකම් ගරු ගෝඨාභය රාජපක්ෂ මැතිතුමාගේ නගර අලංකාර ව්‍යාපෘති සංකල්පය යටතේ බිහිවූ ජරා ජීරණය වෙමින් තිබූ  අගනුවරට තාරුණ්‍යය කැන්දන  එදා පිස්සං කොටුව  අද ආකේඩ් ඉන්ඩිපෙන්ඩන්ස්‌ ස්‌ක්‌වෙයාර්  Arcade  Independence Square Colombo ,Political,හට අරකෂක නගරක සවරධ ලක ගර ගටබ රජපකෂ මත නගර අලකර වයප සකලප යටත බහව ජර ජරන ව තබ අගනවර තරනය කනද එද පසස කට අද අකඩ ඉනඩපනඩනස සකවයර
58,හිටපු ආරක්ෂක ලේකම් ගරු ගෝඨාභය රාජපක්ෂ මැතිතුමා කාර්‍යයයේ නිරතව සිටියදි  වසරක ශ්‍රී ලංකා නාවික හමුදා ඉතිහාසයේ පළමු වරට අළුතෙන්ම මිලදී ගත් විශාලතම සුපිරි අධිතාක්ෂණික නෞකාව ශ්‍රී ලංකා නාවික නෞකා සයුරළ SLNS Sayurala  P  GR NextPresidentInSL SeventhExecutivePresident,Political,හට අරකෂක ලක ගර ගටබ රජපකෂ මතතම කරයය නරත සටයද වසරක ල නවක හමද ඉතහස පල වරට අලතන මලද ගත වෂලත සපර අධතකෂනක නක ල නවක න සයරල
60,හිනිදුම මැතිවරණ කොට්ඨාසයේ උඩවැලිවිිටිය ගම්මැද්දගොඩ මිදිගහවිට පාලම ඉදිකිරීම සඳහා මුල්ගල් තැබීම වියදම රුපියල් ලක්ෂ කි,Political,හනද මතවරන කටටස උඩවලවට ගමමදදගඩ මදගහව පල ඉදකර මලගල තබ වයද රපයල ලකෂ ක
62,හරි ලස්සනයි ජනාධිපතිතුමා  රටේ හැම තැනම ප්‍රශ්නතව ලෙඩ්ඩු දහස් ගානක් ඉන්නවා පරීක්ෂා කරන්නඒව කඩිනමින් කරන්න වැඩපිලිවෙලක් නෑ තාම,Political,හර ලසසන ජනධපතතම රට හම තන පරෂනත ලඩඩ දහස ගන ඉන පරකෂ කරනනඑ කඩන කර වඩපලවල තම
64,හම්බන්තොට වහල්ලු තමන් වහල්ලු බව තේරැම් ගන්නා තෙක් මෙය වෙනස් නොවේඑතකන් රාජපක්ෂලා කර තබා⁣ගෙන සිටිනු ඇත😡😡😡,Political,හමබනත වහලල තම වහලල තර ගන මය වනස නවඑතක රජපකෂ කර තබග සට ඇත
66,හදුන්නෙත්ති ට විරැද්ධව නඩු දාන්න කොමිසමක් දාවි හෙටමසර් එහෙමයි😂😂😡,Political,හදනනත වරදධ නඩ ද කමසම දව හටමසර එහමය
68,කොළඹ ඉදිවන වරාය නගරයේ ඉඩම් සින්නකරව චීනයට ලබාදීමට පැවති මහින්ද රාජපක්ෂ රජය පියවර ගෙන තිබූ බව පාර්ලිමේන්තු මන්ත්‍රී බන්දුල ගුණවර්ධන මහතා අද පිළිගත්තා  ඒ මහින්ද රාජපක්ෂ රජය සහ චීනය අත්සන් කළ ගිවිසුම මාධ්‍යවේදියෙකු විසින් ඔහු වෙත ලබාදීමෙන් අනතුරුවයි  කෙසේ වෙතත් බන්දුල ගුණවර්ධන මහතා පසුගිය සතියේ පැවති මාධ්‍යහමුවේදී ප්‍රකාශ කළේ මහින්ද රාජපක්ෂ රජය කිසිඳු ඉඩමක් සින්නකරව චීනයට ලබා නොදුන් බවයි,Political,කලබ ඉදව වර නගර ඉඩ සනනකර චනය ලබදම පව මහන රජපකෂ රජය පයවර ගන තබ පරලමනත මනතර බනද ගනවරධ මහත අද පලගතත මහන රජපකෂ රජය චන අතස කල ගවස මධයවද ඔහ ලබද අනතර කස ව බනද ගනවරධ මහත පසග සත පව මධයහමවද පරකෂ කල මහන රජපකෂ රජය කසද ඉඩම සනනකර චනය ලබ නද බ
70,කො බන් අපිට නිදහසක් චීනාට ජපනට ඇමරිකාවට ඉන්දියාවට විකිණිලා අපි හැමදාම,Political,ක බන අප නදහස චන ජපන ඇමරකව ඉනදයව වකන අප හමද
72,කෝ සද්දයක් දාමු නේද දේශප්‍රේමී සලු පොරවන් ඉන්න අය,Political,ක සදදය ද නද දෂපරම සල පර ඉ අය
74,කරන්දෙණියෙ මහඒදන්ඩ සතිපොල ගරු බැසිල් රාජාක්ශ මැතිඳුන් ගේ ප්‍රධානත්වයෙන් ජනතා අයිතියට පත්වූ වගයි ,Political,කරනදනය මහඑදනඩ සතප ගර බසල රජකෂ මතද පරධනතව ජනත අයතය පතව වග
76,කප්පම් නොගෙවන නිසා ලාංකිකයන් ට ලංකාවට එන්න ඉඩ නොදෙන  මුං සහ මුංට බලය දුන්න රාජපක්ෂලා මිනිසුන් දසතුන් ද  නුඹලා ට සාප වේවා ,Political,කපප නගව ලකක ලකව එ ඉඩ නද ම ම බලය ද රජපකෂ මනස දසත නබ සප ව
78,ගොන්නු රට පාලනය කරාම රටේ ජනතාවත් ඒ ගානට ගන්න යනවා  අධ්‍යාපනයේ විප්ලවීය වෙනස ඉතිං පුක තමා ,Political,ගන රට පලන කර රට ජනත ගන ග ය අධයපන වපලව වනස ඉත පක තම
80,ගෝඨාභය අවොත් රට ඉවරයි – වාසුදේව නානායක්කාර,Political,ගටබ අව රට ඉවර  වසද නනයකකර
82,ගෝඨාභය රට හදනවනම් ඒ උඹෙත් මගෙත් රට ඒකට අකුල් හෙලන රනිල් මහින්ද දෙපළ විනාස කරන එක NPP අපේ වගකීම විතරක් නෙවෙයි උඹෙත් වගකීමක් සහෝ🌺,Political,ගටබ රට හදනවන උබ මග රට එකට අකල හල රනල මහන දපල වනස කරන එක  අප වගක වතර නව උබ වගකම සහ
84,ගහන ගේමක් තියෙන්නම ඕනේ මේ වෙනුවෙන් මේ රටේ සියලුම ජනතා නියෝජිතයෝ ඉදිරිපත් විය යුතුයි එසේ නොමැතිනම් ඔහුන්ද පාලනය වනු ලබන්නේ මෙම වියවස්තාවෙන් නොවේ මෙවැනි හදිසි  හස්තයකින් බව මේ රටේ ජනතාව තේරුම් ගනු ඇත ඒ වෙනුවෙන් ඔහුන් ඉදිරි මැතිවරණ වලදී ක්‍රියාත්මක වෙනු නොඅනුමානයි ,Political,ගහන ගම තයනන ඔන රට සයල ජනත නයජත ඉදරප වය යත එස නමතන ඔහන පලන වන ලබ වයවසත න ම හදස හසත රට ජනත තර ගන ඇත ඔහ ඉදර මතවරන වලද කරයත ව නඅනමන
86,ගිං ගඟ ව්‍යාපෘතිය සම්බන්ධයෙන් සාකච්ඡාවක් අභයන්තර හා ස්වදේශ කටයුතු සහ පළාත් සභා හා පළාත් පාලන අමාත්‍ය ගරු වජිර අබේවර්ධන මැතිතුමාගේ ප්‍රධානත්වයෙන් පැවැත්විණි,Political,ග ගග වයපත සමබනධ සකචචව අබයනතර සවදෂ කටයත පල සබ පල පල අමත ගර වජර අබවරධ මත පරධනතව පවතවන
88,ගරු අගමැති තුමා ණය ගෙව්වේ ඔහුගේ පොකට් එකෙන් නොව අපේ පොකට් එකේ බදු වලින් බවට අමතක නොකරන්න,Political,ගර අගම තම නය ගව ඔහ පකට එ නව අප පකට එක බද  අමතක නකර
90,යහපාලනය කාලේ කැලේ අපි මේ සුද්ද කරනවාඋන් ගහක් වත් හිටවලා නෑ ඒ කාලේ😱,Political,යහපලන කල කල අප සද කරනවඋ ගහ හටව කල
92,තරුණයෙක් විදියට තැබූ ගරුත්වය ඔබ නැති කර ගත්තේ මැතිවරණය ඉලක්ක කරගනිමින් ජාතිවාදියකු වූ නිසයිඔය ඔබගේ සැබෑ කතාව නොව මැතිවරණය වෙනුවෙන් මාතර සිංහල බෞද්ධ ජනතාව මුලා කිරීමේ කතාවයිමැතිවරණයට ජාතිවාදී වන්නන්ට සැබෑම ,Political,තරනය වදය තබ ගරතව ඔබ න කර ගතත මතවරන ඉලකක කරගන ජතවද ව නසයඔ ඔබ සබ කත නව මතවරන මතර සහ බදධ ජනත ම කර කතවයමතවරනය ජතවද වනනන සබ
94,ඉතා කනගාටුදායකයි මහා ඉඩම් මන්කොල්ලයට එරෙහිවූ ආදිවාසින්ටත් ජරාව දෙන්න ගදපු එකාව වහා නිතිය ක්‍රියාත්මක කල යුතු නොවේද ,Political,කනගටදයක ඉඩ මනකලලය එරහව අදවසන ජර ද ගද එක නත කරයත කල යත නව
96,ඉදිරි මාස කිහිපයේ දී ග්‍රාමීය පාලම් ක වැඩ ආරම්භ කරනවා   ගරු වජිර අබේවර්ධන  අමාත්‍යවරයා පැවසේ  ,Political,ඉදර මස කහප ගරම පල වඩ අරමබ කර ගර වජර අබවරධ අමතයවර පවස
98,ඕක රනිල් දෙන්ඩ ගිය එක නේද,Political,ඔක රනල දනඩ ගය එක න
100,ඇය මැතිනියක්ම විය 🇱🇰 වානේ  අතුරුගිරිය ඔරුවල  ටයර්  කැළණිය ලෝහ භාණ්ඩ  යක්කල වාත්තු  එඬේරමුල්ල කඩදාසි  වාලච්චේන සහ ඇඹිලිපිටිය  නූල් සහ රෙදි  තුල්හිරිය වේයන්ගොඩ වැල්ලවත්ත  කපු නූල් නිෂ්පාදනය කර ප්‍රතිඅපනයනය අමෙරිකාවට  කපුවත්ත නයිලෝන්  සපුගස්කන්ද  දාස ඩියුරෝ  කැළණිය  ඒකල කර්මාන්ත කලාපය රත්මලාන කර්මාන්ත කලාපය යුනික් ඉලෙක්ට්‍රොනික්ස්  හෝමාගම මැටලික්ස් ඉලෙක්ට්‍රිකල්ස්  පිටකෝට්ටේ පැරකුම් කිරි  පොලොන්නරුව පිටි සංස්ථාව ධීවර  සංස්ථාව  ටයර් සංස්ථාව  ලංකා ලෝහ භාණ්ඩ සංස්ථාව  පිඟන් භාණ්ඩ සංස්ථාව තුනී ලෑලි සංස්ථාව  ගින්තොට  සීනී  කන්තලේ හා හිගුරාන ෆෝසිලේන් පිගන්  රත්තොට මිනිරන්  බෝගල  කිරි මණ්ඩලය  දැන් මිල්කෝ සහ හයිලන්ඩ් සිමෙන්ති  වාලච්චේන  පොහොර සංස්ථාව  සපුගස්කන්ද  ලැම්බ්‍රෙටා ස්කූටර් සහ ත්‍රීරෝද රථ SirimavoBandaranaike,Political,ඇය මතනයක වය  වන අතරගර ඔර ටයර කලන ලහ බනඩ යකක වතත එඬරමල කඩදස වලචච ඇබලපට නල රද තලහර වයනගඩ වලලවතත කප නල නෂපදන කර පරතඅපනයන අමරකව කපවතත නයල සපගසකන දස ඩයර කලන එකල කරමනත කලප රතමල කරමනත කලප යන ඉලකටරනකස හමග මටලකස ඉලකටරකලස පටකටට පරක කර පලනනර පට සසථ ධවර සසථ ටයර සසථ ල ලහ බනඩ සසථ පග බනඩ සසථ තන ලල සසථ ගනත සන කනතල හගර ෆසල පග රතත මනර බග කර මනඩල මලක හයලනඩ සමන වලචච පහර සසථ සපගසකන ලමබරට සකටර තරර රථ
102,ඇත්ත මහින්ද මහත්තයා ඔබතුමා වැරදිලා කලේ නෑ  හිතලා කලා මිසක්,Political,ඇතත මහන මහතත ඔබතම වරද කල හත කල මස
104,ඇමති පාඨලී ගැන හිටපු අැමති වෙල්ගම කියයි,Political,ඇම පටල හට අම වලග ක
106,ආණ්ඩුවේ හිතමිත්‍රාදීන් පවසන ආකාරයට සීනි වංචාවෙන් පාඩුවක් නොවූයේද ,Political,අනඩ හතමතරද පවස අකරය ස වච පඩව නවය
108,ආණ්ඩුවට කොරෝනා පාලනය කරගන්න බෑ,Political,අනඩව කර පලන කරග බ
110,අවුල් වියවුල් මකන්න මැතිවරණ කොමිසමෙන් නව නීති,Political,අවල වයවල මක මතවරන කමස න
112,අකු දිසානායක විසින් ජවිපෙ එජාපයට පාවා දෙනව කියන අය ගොඩක් දුරට විමලාවතී පාක්ෂිකයො බැරිවෙලා විමලාඔතියා ජවිපෙ නායකයා වුනානං පක්ෂෙ මහින්ද මහත්තයට පාවා දෙද්දි පුක උඩ දාගෙන නිදාගන්න එකයි කරන්නෙ ඒ හින්දා යූ එන් පී ගූ ,Political,අක දසන ජවප එජපය ප දන කය අය ගඩ දර වමලවත පකෂකය බරව වමලඔත ජවප නයක වනන පකෂ මහන මහතතය ප දදද පක උඩ දග නදග එක කරනන හනද ය එන ප ග
114,අගමැති තුමා හරක්වත් රැවට්ටුවේ මරන්නේ නෑ කියලා 😱😱,Political,අගම තම හරක රවටට මර කය
116,අගමැති ඔය විශය බාරව උන්නෙ නැහැ  මහ බැන්කු හොරකම නම් රනිල් වග කියන්න ඕනා නමුත් පාස්කු ප්‍රහාරයට රනිල් වග කිව යුත්තේ කුමක් නිසාද,Political,අගම ඔය වෂ බර උනන නහ බන හරක රනල වග කය ඔන පස පරහරය රනල වග කව යතත කම නස
118,අඩරට නීතිපහතරට නීති තේවසලාමේ නීතිමුස්ලිම් නීති ඔක්කොම අයින් කරල එකක් ගේන්ඩ ඕන,Political,අඩර නතපහතර න තවසල නතමසල න ඔකක අය කරල එක ගනඩ ඔන
120,අනේ නිස්සංක දන්න දේශපලනේ,Political,නසසක ද දෂපලන
122,අජිත් නිවාඩ් කබ්රාල් රාජ්‍ය අමාත්‍යතුමනි පුළුවන්නම් ජනතා ඡන්දයෙන් පාර්ලිමේන්තුවට එන්න සත්‍යයේ සටහන බුද්ධියේ විමසුමට,Political,අජ නවඩ කබරල රජ අමතයතම පලවනන ජනත චනද පරලමනතව එ සතය සටහ බදධ වමසම
124,අම්මෝජෙප්පො බය වෙලා හොදටම…,Political,අමමජපප බය ව හදටම
126,අපි රැවටුනා නීතිය නවලා විදෙස් තහනම ඉවත් කරපු ඒවා අපිට අමතකයි හොදේ😂😂😂,Political,අප රවට නත නව වදස තහන ඉ කර එව අප අමතක හද
128,අපරාදේ කමල් ගූරත්න ආරක්ෂක ලේකම් කරන්න තිබුනේ😁😁,Political,අපරද කමල ගරත අරකෂක ලක කර තබන
130,අපරාදේ අපිට මුලින්ම හමුදාපති ජනාධිපති කර ගන්න තිබුණේ 🙏🙏🙏,Political,අපරද අප මලන හමදප ජනධප කර ග තබ
132,අද ඉතින් හත්වෙනි දවස ජනාධිපති තුමා  lt ,Political,අද හතව දවස ජනධප තම
134,අද දින ගලගෙදර උතුර ග්‍රාම සංවර්ධන සමිතියට ගරු දිනේෂ් ගුණවර්ධන මැතිතුමන්ගේ ප්‍රතිපාදන යටතේ nescafe යන්ත්‍රයක් ලබා දුන් මොහොතෙ සුවිශේෂී අවස්ථා,Political,අද දන ගලගදර උතර ගර සවරධ සමතය ගර දනෂ ගනවරධ මතතම පරතපද යටත  යනතරය ලබ ද මහත සවෂෂ අවසථ
136,බොරැවෙන් හම්බන්තොට ජනතාව ඇන්ද වූ  වියත්මගේ  නල්ල මලේ දොස්තර  😡🙏😂,Political,බර හමබනත ජනත ඇන ව වයතම නල මල දසතර
138,බැසිල් රාජපක්ෂ මහතා පාර්ලිමේන්තු පැමිණ ආර්ථික කටයුතු පිළිබඳ අමාත්‍යාංශය භාරගත යුතු බවද අරුන්දික ප්‍රනාන්දු මහතා සඳහන් කරයි,Political,බසල රජපකෂ මහත පරලමනත පමන අරථක කටයත අමතයෂ බරගත යත අරනදක පරනනද මහත සදහ කර
140,බකට් සහ වතුර තියන්නැ සෑමරු එදා වෙසක් ගැන රනිල්ගේ මතකය ගැන කතාකරයි ,Political,බකට වතර තයනන සමර එද වස රනල මතක කතකර
142,බකට් සහ වතුර තියන්නැ සෑමරු එදා වෙසක් ගැන රනිල්ගේ මතකය ,Political,බකට වතර තයනන සමර එද වස රනල මතක
144,බද්දේගම මැතිවරණ කොට්ඨාසයේ යටලමත්ත කිරිමැටිබෙම්බඩ ග්‍රාමනිලධාරී වසමේ කැඩී ඇති පාලම වෙනුවට නව පාලමක් ඉදිකිරීම සඳහා මුල්ගල් තැබූ අවස්ථාව වියදම රුපියල් ලක්ෂ යි,Political,බදදග මතවරන කටටස යටලමතත කරමටබමබඩ ගරමනලධර වස කඩ පල පලම ඉදකර මලගල තබ අවසථ වයද රපයල ලකෂ ය
146,බද්දේගම මැතිවරණ කොට්ඨාසයේ යටලමත්ත කිරිමැටිබෙම්බඩ ග්‍රාම නිලධාරී වසමේ ඒදණ්ඩ වෙනුවට නව පාලමකට මුල්ගල් තැබීම වියදම ලක්ෂ යි,Political,බදදග මතවරන කටටස යටලමතත කරමටබමබඩ ගර නලධර වස එදනඩ පලමක මලගල තබ වයද ලකෂ ය
148,ඩබල් ගේම් එපා ජනපති මරන්න හදපු එවුන් වහා අත්අඩංගුවට ගනු — feeling පොන්න ගේම්  බලු කෙඳිරිලි,Political,ඩබල ග එප ජනප මර හද එව අතඅඩගව ගන   ප ග බල කදර
150,රෙන්න නැතත් මොකද අපි රාජපක්ෂලා ට හීලා වුනු යක්කු බොලව්😍😍,Political,ර න මක අප රජපකෂ හ ව යක බලව
152,රාගම පෙදෙශයේ සමුර්ධි නිලධාරීන්ගේ චන්ඩි කම් කොහොමදමේ අසරණ මිනිසුන්ට ඇයි මෙහෙම කරන්නේ මේ අවස්ථාවේදී මෙහෙම කරන්න හොඳ නෑ නේද ජනාධිපතිතුමාගේ අවධානය පිණිසයි    ,Political,රග පදෂ සමරධ නලධර චනඩ කම කහමද අසරන මනසන මහ කර අවසථවද මහ කර හද නද ජනධපත අවධන පනස
154,රාජපස්සලා විතරද ඇයි සජිත් ප්‍රේමදාස,Political,රජපසස වතර සජ පරමදස
156,රාජපක්ශ යුගයේ ඝාතනය වූ ලසන්ත පිලිබඳ ඝාතන පරීක්ශන මුළු මනින්ම නොමග යවන්න කළ තවත් සැලසුමක්  ,Political,රජපකෂ යග ගතන ව ලසනත පලබද ගත පරකෂ මල මනන නමග යව කල සලසම
158,රාජපක්ෂ සහෝදර සමාගම ඉදිරියේ කෝටි ප්‍රකෝටි ගනනක ණය දිගේලි කරාඉස්මුරුත්තාව හැදෙනකම් රට කාබාසීනියා කරමින් හරි හම්බ කරගත් ධනස්ඛන්ධය තම තමන්ගේ සහචරයින් ගෙ නමින් ලොව පුරා ගිණුම් ආරම්භ කළේ සක්කරයගෙ පුතා වයිමටවත් මාට්ටු නොවෙන්නයි,Political,රජපකෂ සහදර සමග ඉදර කට පරකට ගනනක නය දගල කරඉසමරතත හදනක රට කබසන කර හර හමබ කරග ධනසකනධ තම තම සහචරය ග න ලව පර ගන අරමබ කල සකකරය පත වයමට මටට නවනන
160,රටට ආදරය ඇති නායකයෙක් රටට අවශ්‍යව ඇත👌🙏✊,Political,රටට අදර නයකය රටට අවෂය ඇත
162,රට බෙදෙන්නත් පුලුවන් ආණ්ඩුවේ තීරක බලවේගය අපි අපි ඒක පෙන්නන්නෙ නෑ පෙන්න ගත්තොත් ඒක ප්‍රශ්නයක් ඒක ආණ්ඩුවත් දන්නව  ඒබ්‍රහම් සුමන්  ,Political,රට බදනන පල අනඩ තරක බලවග අප අප එක පනනනන ප ගත එක පරෂනය එක අනඩ දනන එබරහ සම
164,රට බෙදන සියළු කොන්දේසි වලට අද රනිල් ලිඛිතව එකඟ වී දෙමළ සංධානයේ සහය ලබා ගනී,Political,රට බද සයල කනදස වලට අද රනල ලකත එකග ව දමල සධන සහය ලබ ගන
166,රනිල්ට සහාය පල කිරිමේ යෝජනාව ජවිපෙට අදාළ නෑ  lka,Political,රනල සහ පල කර යජන ජවප අදල
